,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,salary_low,salary_medium,Predicted_Probability,Risk_Zone
14312,0.36,0.52,2,147,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14399,0.37,0.55,2,152,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14713,0.11,0.87,7,282,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1942,0.4,0.47,2,144,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
1119,0.44,0.5,2,138,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
227,0.44,0.54,2,149,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0.99,4
14702,0.39,0.51,2,151,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
14515,0.89,0.87,5,255,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0.99,4
129,0.37,0.45,2,151,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12393,0.11,0.93,6,282,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14775,0.41,0.53,2,157,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
1127,0.1,0.85,7,261,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
14983,0.72,0.84,5,257,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.97,4
12638,0.84,0.83,4,227,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
1011,0.43,0.47,2,149,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0.99,4
14820,0.1,0.85,7,279,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0.97,4
1183,0.11,0.77,6,264,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0.99,4
921,0.4,0.48,2,138,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,4
12496,0.1,0.82,6,244,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
951,0.36,0.52,2,157,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
554,0.43,0.53,2,150,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
514,0.83,0.96,5,275,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1260,0.09,0.95,6,260,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0.99,4
736,0.81,0.91,4,229,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14855,0.58,0.62,4,238,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0.91,4
12111,0.09,0.85,6,289,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,4
128,0.09,0.82,6,250,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14513,0.1,0.77,7,250,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,4
12095,0.37,0.51,2,155,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12078,0.43,0.56,2,157,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1296,0.46,0.52,2,148,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0.96,4
1227,0.39,0.54,2,131,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
14404,0.09,0.82,6,249,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14554,0.41,0.56,2,143,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14725,0.83,0.96,5,275,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14988,0.46,0.55,2,145,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14227,0.45,0.47,2,160,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12370,0.37,0.45,2,142,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
1010,0.43,0.53,2,152,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
97,0.1,0.84,6,279,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12764,0.83,0.99,4,223,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
12217,0.9,0.98,5,245,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14632,0.1,0.94,6,287,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12179,0.11,0.85,6,308,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
717,0.11,0.78,6,243,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0.99,4
12433,0.87,0.84,4,264,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0.98,4
750,0.38,0.49,2,145,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
559,0.11,0.8,7,296,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
685,0.79,0.84,4,240,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.96,4
435,0.41,0.47,2,135,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
720,0.42,0.49,2,139,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
1028,0.88,0.89,4,275,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.96,4
1830,0.39,0.5,2,151,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.99,4
12696,0.1,0.81,7,291,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,4
12074,0.11,0.97,6,277,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
12115,0.37,0.48,2,137,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14821,0.09,0.95,7,256,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,4
1943,0.09,0.93,6,296,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
80,0.45,0.54,2,140,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1030,0.1,0.97,6,307,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
580,0.44,0.51,2,145,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
9781,0.42,0.5,2,151,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14253,0.4,0.46,2,127,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1466,0.1,0.83,6,264,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0.97,4
12256,0.11,0.81,6,266,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14234,0.46,0.57,2,139,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1367,0.4,0.45,2,140,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
7762,0.82,0.87,5,273,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0.96,4
12756,0.77,0.92,5,235,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
29,0.38,0.5,2,132,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
368,0.82,0.86,5,243,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12181,0.1,0.84,6,261,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
148,0.84,0.88,4,263,5,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
507,0.39,0.54,2,158,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12364,0.4,0.5,2,141,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14502,0.87,0.84,5,231,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12599,0.11,0.92,7,307,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14851,0.37,0.52,2,128,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
1738,0.86,0.88,5,268,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.98,4
1928,0.1,0.97,6,280,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14794,0.44,0.56,2,145,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
12120,0.14,0.62,4,158,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0.98,4
191,0.92,0.87,4,226,6,1,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14218,0.92,0.85,5,259,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14433,0.37,0.51,2,153,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0.96,4
108,0.71,0.87,3,177,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0.98,4
1679,0.43,0.55,2,159,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0.99,4
1438,0.1,0.89,7,285,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12417,0.11,0.9,6,264,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14841,0.1,0.9,7,286,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1809,0.72,0.95,5,271,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0.96,4
12386,0.1,0.93,6,298,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14766,0.1,0.9,7,281,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
747,0.43,0.51,2,130,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
1582,0.11,0.8,6,259,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0.98,4
14300,0.1,0.79,6,291,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1603,0.44,0.51,2,145,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
14644,0.87,0.84,4,264,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0.98,4
291,0.87,0.84,5,231,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12021,0.38,0.55,2,147,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12435,0.41,0.47,2,135,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12193,0.09,0.82,6,249,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14904,0.44,0.56,2,133,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1078,0.46,0.53,2,128,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1932,0.4,0.47,2,128,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14563,0.91,0.91,4,262,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
550,0.11,0.96,6,298,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1513,0.84,0.93,4,250,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
1551,0.4,0.56,2,130,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0.97,4
12425,0.42,0.51,2,136,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14446,0.83,0.85,4,255,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,4
1468,0.78,0.86,5,256,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14493,0.83,0.92,5,267,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12105,0.24,0.46,7,224,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0.96,4
12017,0.78,0.99,4,255,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14734,0.74,0.82,4,239,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14213,0.11,0.88,7,272,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1891,0.37,0.49,2,138,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1871,0.8,0.9,5,267,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.99,4
14916,0.76,0.87,5,262,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
181,0.1,0.84,6,261,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,4
1976,0.37,0.47,2,159,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0.95,4
14885,0.45,0.53,2,159,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
876,0.91,0.94,5,257,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
131,0.38,0.57,2,140,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
882,0.11,0.79,6,294,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14673,0.8,0.53,3,255,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0.95,4
14762,0.75,0.99,5,254,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1673,0.86,1.0,4,232,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.94,4
1355,0.83,0.95,5,221,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.98,4
317,0.37,0.46,2,153,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
709,0.42,0.48,2,140,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
281,0.27,0.56,3,301,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0.98,4
834,0.89,1.0,4,260,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.99,4
1859,0.43,0.57,2,129,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14784,0.36,0.47,2,148,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14406,0.09,0.8,6,304,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
303,0.37,0.55,2,127,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.96,4
1971,0.42,0.47,2,139,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0.98,4
1015,0.39,0.48,2,138,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1378,0.8,0.87,5,240,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0.95,4
84,0.11,0.77,6,291,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0.99,4
14410,0.77,0.94,5,226,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
957,0.39,0.57,2,133,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0.98,4
12247,0.46,0.49,2,148,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12536,0.11,0.85,6,305,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
12236,0.4,0.53,2,151,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
12463,0.8,0.85,4,273,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,4
946,0.37,0.46,2,131,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
12206,0.77,0.99,5,228,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1349,0.87,0.85,5,221,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0.94,4
12671,0.11,0.94,6,264,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14671,0.43,0.49,2,135,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
702,0.45,0.5,2,147,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1573,0.11,0.9,5,307,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0.94,4
810,0.84,0.93,5,236,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0.99,4
12357,0.37,0.54,2,149,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0.99,4
12242,0.38,0.53,2,156,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12698,0.43,0.48,2,135,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
12525,0.41,0.56,2,150,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
12271,0.11,0.84,6,251,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14313,0.42,0.46,2,150,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14243,0.4,0.51,2,145,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
1727,0.11,0.94,6,266,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
773,0.42,0.54,2,159,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14508,0.4,0.52,2,147,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
593,0.37,0.54,2,132,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
377,0.44,0.56,2,158,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
670,0.11,0.95,6,245,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,4
316,0.43,0.47,2,135,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
989,0.4,0.46,2,144,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,4
14503,0.41,0.49,2,146,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12371,0.36,0.51,2,135,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
1372,0.88,0.88,4,265,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.97,4
324,0.37,0.45,2,131,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1235,0.4,0.49,2,140,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1377,0.11,0.86,6,273,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0.98,4
403,0.92,0.93,5,240,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
801,0.43,0.55,2,153,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
60,0.85,0.91,5,226,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0.95,4
12228,0.85,0.95,5,236,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
12312,0.4,0.54,2,139,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
14397,0.09,0.85,6,297,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
14918,0.09,0.89,6,282,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14270,0.85,1.0,4,225,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12431,0.41,0.57,2,160,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12375,0.73,0.99,5,262,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.98,4
14865,0.1,0.89,7,308,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1692,0.45,0.47,2,150,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12429,0.41,0.52,2,127,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0.99,4
14432,0.37,0.5,2,135,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
12356,0.41,0.55,2,154,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
511,0.53,0.85,2,164,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14579,0.82,0.86,5,243,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
901,0.43,0.53,2,145,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
464,0.82,0.98,5,234,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,4
12145,0.41,0.46,2,151,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
521,0.74,0.99,4,233,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12657,0.43,0.55,2,130,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,4
14586,0.73,0.99,5,262,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.98,4
1382,0.1,0.88,6,263,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
12541,0.81,0.87,4,254,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
46,0.4,0.55,2,147,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
796,0.45,0.49,2,151,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
1216,0.44,0.56,2,127,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14464,0.87,0.98,4,248,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12150,0.11,0.91,6,278,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0.99,4
14723,0.09,0.96,6,259,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1189,0.36,0.51,2,155,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12227,0.44,0.54,2,149,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0.99,4
1767,0.78,0.95,4,260,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12334,0.1,0.81,6,290,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
331,0.11,0.85,7,302,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12251,0.79,0.92,5,254,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12406,0.73,0.99,5,241,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12660,0.44,0.5,2,130,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
12779,0.11,0.9,7,247,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
817,0.11,0.87,6,264,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
12566,0.11,0.79,7,310,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
1919,0.72,0.94,4,258,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.93,4
12345,0.1,0.86,6,278,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,4
12003,0.72,0.87,5,223,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.93,4
776,0.1,0.97,6,254,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.99,4
811,0.09,0.97,7,288,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
1800,0.09,0.78,6,263,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1262,0.11,0.84,6,252,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1723,0.11,0.87,6,280,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12679,0.86,1.0,5,229,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0.98,4
1046,0.86,1.0,4,250,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0.97,4
14693,0.77,0.87,4,242,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
14964,0.1,0.97,6,280,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
453,0.37,0.54,2,145,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.96,4
719,0.8,1.0,5,260,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0.99,4
12259,0.11,0.84,6,287,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,4
1129,0.11,0.93,6,290,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
625,0.78,0.98,5,263,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
770,0.1,0.83,6,300,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0.99,4
430,0.89,0.65,5,195,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0.96,4
14264,0.39,0.54,2,132,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
784,0.44,0.57,2,131,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1389,0.4,0.49,2,151,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1036,0.46,0.54,2,158,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0.97,4
12280,0.1,0.98,6,268,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
1694,0.1,0.87,6,248,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
513,0.11,0.89,6,293,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12035,0.1,0.94,6,255,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1239,0.38,0.47,2,152,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
12634,0.82,0.92,5,225,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1462,0.39,0.54,2,149,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
299,0.74,0.84,5,249,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
1726,0.45,0.51,2,137,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12036,0.38,0.46,2,137,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
746,0.36,0.5,2,132,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,4
14267,0.11,0.94,7,255,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14929,0.1,0.83,7,302,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
1285,0.41,0.52,2,127,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
1267,0.42,0.53,2,158,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
622,0.1,0.55,2,247,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0.98,4
14558,0.11,0.8,6,282,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1429,0.87,0.91,4,255,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0.97,4
12591,0.66,0.67,2,255,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0.98,4
88,0.37,0.57,2,130,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1652,0.87,0.97,5,250,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
14246,0.1,0.94,6,255,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12338,0.39,0.5,2,142,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
14507,0.39,0.55,2,156,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
14375,0.9,0.99,5,260,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
1134,0.46,0.51,2,155,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
338,0.39,0.5,2,142,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
551,0.75,0.99,5,254,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14544,0.45,0.52,2,145,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1691,0.39,0.56,2,160,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12574,0.37,0.49,2,151,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14670,0.4,0.48,2,137,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
587,0.8,0.83,2,211,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0.93,4
12101,0.36,0.52,2,147,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1097,0.38,0.48,2,134,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,4
12346,0.81,1.0,4,253,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
14685,0.87,1.0,5,242,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
102,0.42,0.46,2,150,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14824,0.81,0.97,5,243,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,4
1375,0.46,0.5,2,141,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1794,0.38,0.51,2,159,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
69,0.43,0.5,2,135,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,4
